id,package_name,BLOB,LM,SAK,CC,IGS,MIM,NLMR,LIC
2,com.f2prateek.dfg,5,114,0,22,23,7,1,21
4,com.midisheetmusic,4,83,0,9,18,1,6,15
5,info.guardianproject.checkey,0,7,0,0,0,2,2,1
10,ohi.andre.consolelauncher,1,29,0,9,5,32,3,33
11,ohi.andre.consolelauncher,1,29,0,9,5,32,3,33
12,biz.codefuture.svgviewer,0,0,0,0,0,0,2,0
14,org.connectbot,12,219,0,29,25,28,11,98
15,org.connectbot,12,219,0,29,25,28,11,98
30,com.github.grimpy.botifier,1,6,0,2,0,2,1,11
32,com.twofours.surespot,0,0,0,0,0,0,0,0
37,org.nick.wwwjdic,35,262,3,64,34,38,7,136
38,org.nick.wwwjdic,34,263,3,64,34,39,7,136
42,net.pierrox.mcompass,0,9,0,0,0,0,2,0
46,de.msal.muzei.nationalgeographic,18,174,13,94,161,48,2,63
49,org.geometerplus.fbreader.plugin.local,2,69,0,9,80,7,3,0
51,org.mysociety.FixMyStreet,7,58,0,14,3,13,1,22
64,mohammad.adib.roundr,1,15,0,2,0,19,2,20
72,com.foxykeep.lifecounter,0,5,0,1,0,0,3,3
75,at.bitfire.cadroid,0,8,0,0,1,0,1,1
77,mobi.omegacentauri.SendReduced,0,13,0,3,0,0,4,4
86,com.ihunda.android.binauralbeat,2,29,0,4,1,10,2,38
88,de.reimardoeffinger.quickdic,8,249,0,45,42,22,5,0
89,de.reimardoeffinger.quickdic,8,249,0,45,42,22,5,0
93,com.ghostsq.commander,12,287,1,41,34,30,8,85
95,com.namelessdev.mpdroid,16,136,0,26,47,19,11,105
96,com.namelessdev.mpdroid,24,198,0,43,19,38,9,115
97,org.androidsoft.coloring,1,11,0,0,0,2,1,12
100,com.byagowi.persiancalendar,2,45,0,4,16,7,2,0
101,com.byagowi.persiancalendar,2,46,0,4,16,7,2,0
104,it.greenaddress.cordova,0,0,0,0,0,0,0,0
108,com.fsck.k9,0,0,0,0,0,0,0,0
109,com.fsck.k9,0,0,0,0,0,0,0,0
110,com.fsck.k9,0,0,0,0,0,0,0,0
112,org.dmfs.tasks,6,111,0,16,3,19,5,0
113,org.dmfs.tasks,11,208,1,34,8,28,7,0
114,com.simplemobiletools.filemanager,1,8,0,1,7,2,1,0
115,com.numix.calculator,0,0,0,0,0,0,0,0
116,com.maskyn.fileeditorpro,9,186,0,21,7,9,3,106
119,net.fred.feedex,7,137,0,26,14,17,2,0
121,net.fred.feedex,12,269,2,57,38,52,2,0
122,org.passwordmaker.android,5,56,1,9,12,15,3,39
125,jp.forkhub,0,0,0,0,0,0,0,0
129,com.mgaetan89.showsrage,0,0,0,0,0,0,0,0
135,com.pindroid,6,64,0,11,21,2,10,64
137,marto.rtl,0,10,0,2,0,0,2,21
138,net.osmand.plus,0,0,0,0,0,0,0,0
139,net.osmand.plus,0,0,0,0,0,0,0,0
140,net.osmand.plus,0,0,0,0,0,0,0,0
152,org.openintents.safe,6,84,0,15,0,2,19,89
155,com.nolanlawson.keepscore,25,199,2,49,25,37,8,0
156,org.thialfihar.android.apg,14,495,1,60,156,212,3,92
157,org.thialfihar.android.apg,0,0,0,0,0,0,0,0
163,org.iilab.pb,5,97,0,13,25,5,3,71
166,de.j4velin.systemappmover,1,30,0,3,0,1,2,29
168,com.amabyte.vtucslabmanual,0,33,1,5,3,0,5,0
169,jwtc.android.chess,8,126,0,12,13,10,12,146
171,com.drodin.tuxrider,1,10,0,4,0,0,2,11
179,com.juet.attendance,20,117,2,41,23,31,6,70
184,com.moez.QKSMS,0,0,0,0,0,0,0,0
185,com.moez.QKSMS,0,0,0,0,0,0,0,0
186,com.moez.QKSMS,0,0,0,0,0,0,0,0
190,com.manuelmaly.hn,6,80,3,17,25,30,8,40
197,org.michaelevans.nightmodeenabler,0,1,0,0,0,0,1,1
199,org.linphone,11,183,15,29,15,12,12,183
200,org.linphone,15,202,17,35,14,9,13,218
202,ru.gelin.android.sendtosd,1,14,0,1,4,2,3,14
203,ru.gelin.android.sendtosd,1,14,0,1,4,2,3,14
209,org.servalproject,20,223,10,82,53,16,27,115
216,de.eidottermihi.raspicheck,0,0,0,0,0,0,0,0
221,net.bible.android.activity,0,0,0,0,0,0,0,0
222,net.bible.android.activity,0,0,0,0,0,0,0,0
231,fr.neamar.kiss,1,35,0,4,0,4,2,32
233,fr.neamar.kiss,1,35,0,4,0,4,2,33
234,de.onyxbits.sensorreadout,3,46,0,9,8,5,3,2
238,com.nathanosman.chronosnap,1,4,0,0,0,0,2,8
258,com.bleyl.recurrence,5,49,0,9,1,4,7,0
259,org.wheelmap.android.online,20,424,4,89,57,92,12,65
271,me.guillaumin.android.osmtracker,11,135,4,17,39,35,8,82
273,de.yazo,0,5,0,0,0,0,4,4
274,com.frozendevs.cache.cleaner,1,6,0,1,1,0,2,11
275,com.frozendevs.cache.cleaner,1,5,0,1,1,0,2,11
276,com.frozendevs.cache.cleaner,1,6,0,1,1,0,2,12
277,com.palliser.nztides,0,2,0,0,0,0,1,0
278,com.roguetemple.hyperroid,2,12,0,2,0,2,2,10
279,org.dsandler.apps.markers,3,24,0,4,0,8,1,9
282,org.scid.android,5,113,0,18,4,12,15,75
283,com.dozingcatsoftware.bouncy,0,0,0,0,0,0,0,0
284,de.repat.mosf,0,0,0,0,0,0,1,1
288,net.sourceforge.opencamera,5,104,1,14,17,15,2,96
289,net.sourceforge.opencamera,5,108,1,14,18,15,2,96
290,net.sourceforge.opencamera,5,119,1,15,19,17,2,100
292,org.sickstache,24,176,2,56,34,55,5,168
295,net.bytten.xkcdviewer,1,10,1,1,2,0,3,26
299,com.watabou.pixeldungeon,15,286,0,36,27,74,1,155
300,com.watabou.pixeldungeon,15,295,0,37,27,75,1,156
302,com.concentricsky.android.khan,0,0,0,0,0,0,0,0
307,com.alfray.timeriffic,2,56,1,7,1,4,2,42
315,name.boyle.chris.sgtpuzzles,3,55,0,4,1,0,7,49
316,name.boyle.chris.sgtpuzzles,3,57,0,5,1,0,7,54
318,github.daneren2005.dsub,20,311,2,46,26,19,5,222
319,github.daneren2005.dsub,0,0,0,0,0,0,0,0
325,cx.ring,16,360,8,82,17,20,11,0
327,me.writeily,5,67,0,17,20,9,8,83
350,de.srlabs.snoopsnitch,0,0,0,0,0,0,0,0
351,de.srlabs.snoopsnitch,0,0,0,0,0,0,0,0
354,ro.mihai.tpt,0,26,0,5,6,11,5,20
360,com.nextcloud.client,29,336,1,58,105,37,9,174
362,com.gimranov.zandy.app,5,82,2,8,12,7,12,88
364,com.colinmcdonough.android.torch,1,1,0,1,0,0,2,0
368,app.easytoken,2,61,1,6,2,1,5,32
373,vu.de.urpool.quickdroid,1,25,0,2,1,5,2,21
374,com.kaneoriley.cyanogenport.launcher3,0,0,0,0,0,0,0,0
376,fr.herverenault.selfhostedgpstracker,0,6,0,0,0,0,2,7
378,de.szalkowski.activitylauncher,0,7,0,0,0,5,1,11
382,org.brandroid.openmanager,0,0,0,0,0,0,0,0
400,info.papdt.blackblub,6,44,2,9,9,11,1,33
409,com.nauj27.android.colorpicker,0,4,0,1,0,0,1,3
413,acr.browser.lightning,0,0,0,0,0,0,0,0
414,acr.browser.lightning,8,180,4,31,6,8,3,0
415,acr.browser.lightning,10,200,6,40,8,14,3,0
420,com.github.andlyticsproject,29,270,3,62,78,51,8,167
422,com.github.andlyticsproject,29,271,3,62,72,51,8,167
428,org.numixproject.iconsubmit,1,10,0,1,0,0,2,8
431,de.ub0r.android.callmeter,20,256,2,61,24,39,6,119
432,de.qspool.clementineremote,0,0,0,0,0,0,0,0
433,de.qspool.clementineremote,0,0,0,0,0,0,0,0
434,de.qspool.clementineremote,0,0,0,0,0,0,0,0
440,com.shahul3d.indiasatelliteweather,12,154,5,33,34,21,2,64
441,com.dozingcatsoftware.cameratimer,1,9,0,1,0,0,5,9
448,org.yuttadhammo.BodhiTimer,1,36,0,2,0,0,5,0
454,com.ghstudios.android.mhgendatabase,6,159,0,15,11,20,1,90
455,goo.TeaTimer,2,9,0,2,0,0,2,5
461,net.pmarks.chromadoze,2,39,0,7,4,3,1,15
465,org.ligi.vaporizercontrol,0,0,0,0,0,0,0,0
469,net.kervala.comicsreader,5,59,1,9,5,7,5,15
471,net.kervala.comicsreader,5,61,1,9,5,7,5,15
476,org.yaxim.androidclient,28,339,4,71,38,44,6,161
479,com.gelakinetic.mtgfam,0,0,0,0,0,0,0,0
480,com.gelakinetic.mtgfam,0,0,0,0,0,0,0,0
481,com.gelakinetic.mtgfam,0,0,0,0,0,0,0,0
484,nitezh.ministock,0,31,1,4,12,2,5,26
485,nitezh.ministock,0,31,1,4,12,2,5,26
489,com.app.missednotificationsreminder,0,0,0,0,0,0,0,0
490,us.bravender.android.dongsa,0,1,0,0,0,0,2,7
496,org.qii.weiciyuan,11,165,1,35,125,35,2,235
498,com.termux.api,0,19,0,1,0,0,2,12
501,eu.faircode.netguard,3,140,0,15,1,3,7,0
507,jackpal.androidterm,9,80,1,14,7,11,6,45
514,com.knirirr.beecount,1,25,0,2,0,0,8,20
515,com.knirirr.beecount,1,26,0,2,0,0,8,22
516,com.knirirr.beecount,1,26,0,2,0,0,8,22
520,com.farmerbb.taskbar,0,0,0,0,0,0,0,0
521,com.farmerbb.taskbar,4,46,0,8,0,0,14,0
522,org.jessies.dalvikexplorer,0,15,0,2,0,2,3,7
526,com.aselalee.trainschedule,2,19,0,3,0,6,5,27
527,com.aselalee.trainschedule,2,24,0,4,0,6,5,30
528,com.aselalee.trainschedule,2,24,0,4,0,6,5,30
531,com.ds.avare,18,240,0,26,7,20,18,191
533,giraffine.dimmer,3,31,0,6,4,1,2,27
534,giraffine.dimmer,3,31,0,6,4,1,2,27
536,dk.andsen.asqlitemanager,3,116,0,8,1,4,16,0
538,in.blogspot.anselmbros.torchie,2,18,0,5,2,0,3,0
539,in.blogspot.anselmbros.torchie,2,22,0,5,2,0,3,0
542,org.andglkmod.hunkypunk,4,36,0,11,11,3,4,53
545,org.wordpress.android,0,0,0,0,0,0,0,0
546,com.pilockerstable,1,11,0,1,4,0,4,35
548,com.yassirh.digitalocean,16,255,5,51,61,66,4,120
555,org.ametro,13,161,0,28,11,15,19,72
557,de.blinkt.openvpn,8,108,1,11,3,6,6,71
558,de.blinkt.openvpn,8,110,1,12,3,6,6,71
559,de.blinkt.openvpn,8,112,1,12,3,6,6,65
563,it.iiizio.epubator,0,0,0,0,0,0,0,0
564,org.openintents.shopping,3,80,0,7,11,8,12,66
571,com.jefftharris.passwdsafe,0,0,0,0,0,0,0,0
572,com.jefftharris.passwdsafe,0,0,0,0,0,0,0,0
578,com.ghostsq.commander.samba,7,206,0,24,42,6,0,10
579,com.nononsenseapps.notepad,33,314,4,108,137,43,8,174
580,com.nononsenseapps.notepad,33,318,4,108,138,43,8,177
581,com.nononsenseapps.notepad,0,0,0,0,0,0,0,0
582,com.harleensahni.android.mbr,1,7,0,1,0,1,2,9
585,be.ppareit.shutdown,1,25,0,3,0,0,2,22
589,com.morlunk.mumbleclient,0,0,0,0,0,0,0,0
590,com.morlunk.mumbleclient,0,0,0,0,0,0,0,0
591,com.morlunk.mumbleclient,0,0,0,0,0,0,0,0
593,org.transdroid.lite,0,0,0,0,0,0,0,0
594,org.transdroid.lite,0,0,0,0,0,0,0,0
595,org.transdroid.lite,0,0,0,0,0,0,0,0
599,org.montrealtransit.android.schedule.stmbus,0,2,0,0,0,0,0,0
603,com.doplgangr.secrecy,8,89,0,15,19,7,7,0
605,org.quantumbadger.redreader,0,0,0,0,0,0,0,0
608,org.totschnig.myexpenses,0,0,0,0,0,0,0,0
609,net.nurik.roman.muzei,11,134,0,28,10,25,5,96
612,com.soyblue.bluesound,0,1,0,0,1,0,1,2
625,org.tint,7,77,2,18,7,23,4,154
626,com.thibaudperso.sonycamera,1,9,0,2,2,2,1,49
628,com.thibaudperso.sonycamera,2,31,0,6,8,8,1,67
642,org.kde.necessitas.ministro,2,26,0,3,0,3,2,13
643,org.kde.necessitas.ministro,3,45,0,5,3,2,2,17
646,org.odk.collect.android,0,0,0,0,0,0,0,0
649,org.sagemath.droid,4,28,0,4,3,8,1,25
650,de.onyxbits.remotekeyboard,4,54,2,9,17,8,5,4
651,de.onyxbits.remotekeyboard,4,54,2,9,17,8,5,4
652,de.onyxbits.remotekeyboard,4,54,2,9,17,8,5,4
653,org.sipdroid.sipua,14,186,3,40,46,20,10,42
654,org.sipdroid.sipua,14,187,3,40,46,20,10,44
655,org.sipdroid.sipua,14,187,3,40,46,20,10,44
657,com.willhauck.linconnectclient,0,8,0,0,0,3,2,18
658,com.willhauck.linconnectclient,0,8,0,0,0,3,2,18
661,org.yuttadhammo.tipitaka,30,223,2,51,37,34,18,164
678,de.ub0r.android.smsdroid,23,174,2,50,26,30,10,84
681,org.traccar.client,1,4,0,0,0,0,4,13
682,dev.ukanth.ufirewall,13,196,3,33,23,21,12,155
684,dev.ukanth.ufirewall,0,0,0,0,0,0,0,0
689,uk.org.ngo.squeezer,8,83,2,13,30,31,3,117
692,de.jurihock.voicesmith,1,18,0,5,6,21,5,0
706,com.axelby.podax,7,146,2,20,42,15,4,103
708,com.axelby.podax,4,163,1,20,50,16,4,93
711,net.momodalo.app.vimtouch,6,59,1,14,13,7,5,30
715,com.gulshansingh.hackerlivewallpaper,2,12,0,3,0,0,1,0
721,com.jforce.chapelhillnextbus,15,140,1,40,42,20,1,139
724,com.googlecode.gtalksms,0,0,0,0,0,0,0,0
729,com.duckduckgo.mobile.android,0,0,0,0,0,0,0,0
730,com.duckduckgo.mobile.android,0,0,0,0,0,0,0,0
731,ru.meefik.busybox,0,13,0,1,1,0,3,7
734,com.totsp.crossword.shortyz,0,0,0,0,0,0,0,0
735,com.tmarki.comicmaker,4,47,0,7,0,5,1,40
739,me.bpear.archonpackager,5,66,0,13,2,12,2,15
750,com.vuze.android.remote,0,0,0,0,0,0,0,0
751,com.vuze.android.remote,0,0,0,0,0,0,0,0
752,com.ringdroid,3,43,0,7,1,13,3,49
753,com.ringdroid,3,36,0,5,3,1,3,44
754,com.ringdroid,4,41,0,5,3,2,3,44
757,com.mill,5,26,0,7,2,2,2,15
758,com.code61.deadpixel,0,2,0,0,0,0,1,17
762,com.hectorone.multismssender,0,10,0,1,0,0,6,12
771,com.gpl.rpg.AndorsTrail,11,111,0,24,12,5,17,129
780,com.frostwire.android,0,0,0,0,0,0,0,0
783,org.tasks,0,0,0,0,0,0,0,0
784,org.developfreedom.wordpowermadeeasy,0,2,0,0,0,0,1,2
789,com.google.android.apps.authenticator2,3,18,0,2,3,3,4,27
795,com.vrem.wifianalyzer,3,38,0,8,98,5,3,0
796,com.vrem.wifianalyzer,3,38,0,8,98,5,3,0
797,com.vrem.wifianalyzer,3,40,0,8,97,5,3,0
799,com.shatteredpixel.shatteredpixeldungeon,13,400,0,49,31,85,1,196
800,com.shatteredpixel.shatteredpixeldungeon,13,406,0,48,23,85,1,199
801,com.shatteredpixel.shatteredpixeldungeon,13,416,0,50,23,82,1,0
805,com.darshancomputing.BatteryIndicator,3,18,0,4,0,1,4,10
807,com.darshancomputing.BatteryIndicator,1,20,0,3,1,1,4,10
809,com.MarcosDiez.shareviahttp,0,13,0,1,0,0,1,11
811,com.MarcosDiez.shareviahttp,0,10,0,1,0,0,1,7
815,com.ghostsq.commander.sftp,2,118,0,10,11,8,0,6
832,com.owncloud.android,27,322,1,53,108,37,10,163
833,com.owncloud.android,28,329,1,54,108,37,10,163
834,com.owncloud.android,28,333,1,56,108,38,11,169
841,de.danoeh.antennapod,0,0,0,0,0,0,0,0
842,de.danoeh.antennapod,0,0,0,0,0,0,0,0
843,de.danoeh.antennapod,0,0,0,0,0,0,0,0
845,mazechazer.android.wottankquiz,0,8,0,1,0,0,3,10
846,com.github.wdkapps.fillup,9,102,1,13,52,5,10,26
852,damo.three.ie,13,248,8,83,107,32,6,38
856,teaonly.droideye,1,13,0,3,0,2,1,14
857,teaonly.droideye,6,47,2,9,8,10,1,15
863,com.achep.acdisplay,17,189,0,32,12,34,3,162
866,com.eleybourn.bookcatalogue,0,0,0,0,0,0,0,0
867,eu.mrogalski.saidit,1,13,0,0,0,0,2,0
872,com.angrydoughnuts.android.alarmclock,0,28,0,1,4,2,5,76
873,com.angrydoughnuts.android.alarmclock,0,28,0,1,4,2,5,76
886,com.xargsgrep.portknocker,18,107,2,39,24,29,6,70
888,com.nilhcem.hostseditor,21,176,2,50,38,29,6,103
890,com.jadn.cc,1,52,1,10,0,10,4,67
891,com.jadn.cc,1,58,1,10,1,10,4,68
900,org.jsl.wfwt,7,93,0,10,1,0,1,48
901,org.npr.android.news,19,408,3,80,58,103,2,77
907,com.brapeba.roaminginfo,0,2,0,0,0,0,4,4
912,com.gmail.jerickson314.sdscanner,1,5,0,0,1,0,1,3
916,com.olam,0,10,0,1,0,1,1,4
919,de.ub0r.android.smsdroid,0,0,0,0,0,0,0,0
922,org.ppsspp.ppsspp,1,10,1,3,0,6,2,15
924,com.catchingnow.tinyclipboardmanager,3,19,0,5,1,2,2,44
925,com.catchingnow.tinyclipboardmanager,3,24,0,5,1,2,2,47
926,com.catchingnow.tinyclipboardmanager,2,25,0,4,0,3,2,54
929,com.zaren,3,26,0,4,17,2,4,29
931,ru.gelin.android.weather.notification,0,32,1,1,44,6,4,13
933,ru.gelin.android.weather.notification,0,32,1,1,45,6,4,12
939,org.kost.nmap.android.networkmapper,1,16,0,1,0,0,2,13
945,org.wikipedia,0,0,0,0,0,0,0,0
946,org.wikipedia,0,0,0,0,0,0,0,0
947,org.wikipedia,0,0,0,0,0,0,0,0
957,trikita.slide,9,90,0,24,23,9,1,103
958,fr.simon.marquis.secretcodes,0,10,0,0,1,3,1,7
962,org.geometerplus.zlibrary.ui.android,18,420,9,87,47,89,29,315
963,org.geometerplus.zlibrary.ui.android,18,419,9,87,47,89,31,317
974,com.easytarget.micopi,0,16,0,2,0,0,2,5
975,com.easytarget.micopi,0,14,0,1,0,0,1,7
976,com.easytarget.micopi,0,14,0,1,0,0,1,7
979,com.googlecode.networklog,26,233,2,55,28,39,7,162
982,de.measite.contactmerger,0,0,0,0,0,0,0,0
985,com.simplemobiletools.calendar,11,134,0,31,84,50,2,0
991,com.simplemobiletools.musicplayer,3,11,0,4,11,2,2,0
1002,com.bri1.soundbored,0,0,0,0,0,0,1,3
1010,com.android.keepass,7,110,1,20,55,65,6,70
1011,com.android.keepass,7,110,1,20,55,65,6,71
1012,com.android.keepass,7,111,1,20,55,65,6,71
1013,com.dougkeen.bart,0,0,0,0,0,0,0,0
1014,com.dougkeen.bart,0,0,0,0,0,0,0,0
1022,ru.gelin.android.browser.open,0,6,0,0,1,3,3,2
1034,au.com.wallaceit.reddinator,21,303,3,57,16,35,14,195
1042,us.shandian.giga,3,68,0,15,19,6,2,64
1043,de.mangelow.network,0,1,0,0,0,0,1,0
1045,org.scummvm.scummvm,1,7,0,0,0,0,2,7
1046,ch.blinkenlights.battery,0,1,0,1,0,0,1,8
1051,org.tamanegi.atmosphere,2,11,0,2,0,0,1,10
1054,com.llamacorp.equate,8,41,0,10,81,2,1,27
1055,org.libreoffice.impressremote,0,3,0,4,5,2,6,1
1057,org.libreoffice.impressremote,0,4,0,4,5,2,6,1
